发送者,内容,接收者,时间,相关链接
js,没去过[捂脸],GROUP,2017-07-26 16:49:27,
骑车总被神套路,中宣部穷逼屌丝单位,GROUP,2017-07-26 16:49:30,
骑车总被神套路,[捂脸],GROUP,2017-07-26 16:49:33,
小鳝鳝,中宣部多牛逼的单位啊，中央的第一道宣传口径,GROUP,2017-07-26 16:50:06,
小鳝鳝,套路，都是套路！ 发了一个动画表情，点击下面链接查看: http://emoji.qpic.cn/wx_emoji/6mmLktzUoQSga2icicAwB281uLvM7ATibyrVMibyXQDQgrcgWGFrgiceJyA/,GROUP,2017-07-26 16:50:15,http://emoji.qpic.cn/wx_emoji/6mmLktzUoQSga2icicAwB281uLvM7ATibyrVMibyXQDQgrcgWGFrgiceJyA/
套路群中最真诚的鱼,@js 我带着你，你可得带着钱啊,js 我带着你，你可得带着钱,2017-07-26 16:50:35,
套路群中最真诚的鱼,@小鳝鳝 喉舌,小鳝鳝 喉,2017-07-26 16:50:42,
套路群中最真诚的鱼,党媒,GROUP,2017-07-26 16:50:46,
套路群中最真诚的鱼,pro pro,GROUP,2017-07-26 16:50:49,
炫,总是部长部长的,GROUP,2017-07-26 16:50:58,
炫,真是太壕了你们,GROUP,2017-07-26 16:51:07,
小鳝鳝,总是部长部长的 真是太壕了你们,GROUP,2017-07-26 16:51:18,
副将桃儿,总是部长部长的 真是太壕了你们,GROUP,2017-07-26 16:51:34,
王梁,这个群 藏鱼卧虾,GROUP,2017-07-26 16:51:55,
炫,套路，都是套路！ 发了一个动画表情，点击下面链接查看: http://emoji.qpic.cn/wx_emoji/FOMBicbajPicjzCTiaWtzxYj9Pn2gcSDTMzCP0aH7RzvuhEk5GqDFOWqQ/,GROUP,2017-07-26 16:52:15,http://emoji.qpic.cn/wx_emoji/FOMBicbajPicjzCTiaWtzxYj9Pn2gcSDTMzCP0aH7RzvuhEk5GqDFOWqQ/
炫,套路，都是套路！ 发了一个动画表情，点击下面链接查看: http://emoji.qpic.cn/wx_emoji/pbRJlZzN8TjdrVPcYT4TCYTic1oG25GPkXSj9l7gvd8iaICqXLj4NqEA/,GROUP,2017-07-26 16:52:21,http://emoji.qpic.cn/wx_emoji/pbRJlZzN8TjdrVPcYT4TCYTic1oG25GPkXSj9l7gvd8iaICqXLj4NqEA/
js,部长吃饭一般不都打白条吗[捂脸],GROUP,2017-07-26 16:52:20,
套路群中最真诚的鱼,套路，都是套路！ 发了一个动画表情，点击下面链接查看: http://emoji.qpic.cn/wx_emoji/BRnqgAaO6KdC3NQ7kn66tKYq0qpSxMxwmUmxB0Nzqo9HjGfniaMm0EkficfGkhwERJ/,GROUP,2017-07-26 16:52:22,http://emoji.qpic.cn/wx_emoji/BRnqgAaO6KdC3NQ7kn66tKYq0qpSxMxwmUmxB0Nzqo9HjGfniaMm0EkficfGkhwERJ/
js,不用带钱[奸笑],GROUP,2017-07-26 16:52:25,
副将桃儿,以后出门撩妹，我是不是可以说我中宣部，外交部，商务部都有人？,GROUP,2017-07-26 16:52:30,
副将桃儿,[奸笑],GROUP,2017-07-26 16:52:37,
炫,以后出门撩小鲜肉，我是不是可以说我中宣部，外交部，商务部都有人？,GROUP,2017-07-26 16:52:48,
炫,还有航天院,GROUP,2017-07-26 16:53:12,
炫,[奸笑],GROUP,2017-07-26 16:53:14,
套路群中最真诚的鱼,这些部位都不如你认识个什么市局一类的领导实在。。。,GROUP,2017-07-26 16:53:17,
js,还是税务局的好,GROUP,2017-07-26 16:53:20,
副将桃儿,对对对,GROUP,2017-07-26 16:53:22,
本群最靠谱副将,鱼总我路过你单位 带我吃你们食堂吧,GROUP,2017-07-26 16:53:30,
副将桃儿,鱼总我路过你单位 带我吃你们食堂吧,GROUP,2017-07-26 16:53:41,
套路群中最真诚的鱼,@本群最靠谱副将 我们现在食堂待人批条子得部门一把手签字了。。。,本群最靠谱副将 我们现在食堂待人批条子得部门一把手签字了。。,2017-07-26 16:53:49,
炫,鱼总我路过你单位 带我吃你们食堂吧,GROUP,2017-07-26 16:53:50,
套路群中最真诚的鱼,我也很绝望啊。。。,GROUP,2017-07-26 16:53:52,
小鳝鳝,鱼总我路过你单位 带我吃你们食堂吧,GROUP,2017-07-26 16:53:53,
js,税务局天天白吃[奸笑],GROUP,2017-07-26 16:54:23,
副将桃儿,以后早饭去三部长单位吃，午饭去鱼部长单位吃，晚饭去鳝部长单位吃,GROUP,2017-07-26 16:54:31,
套路群中最真诚的鱼,@js 好了，那么你什么时候请我吃饭。。。,js 好了，那么你什么时候请我吃饭。。,2017-07-26 16:55:05,
骑车总被神套路,半夜桃总带我们去三里屯浪,GROUP,2017-07-26 16:55:20,
骑车总被神套路,[机智],GROUP,2017-07-26 16:55:23,
副将桃儿,主将，今晚是不是约鳝部长出来套路一下[奸笑],GROUP,2017-07-26 16:55:25,
骑车总被神套路,来四个啤酒,GROUP,2017-07-26 16:55:43,
炫,套路，都是套路！ 发了一个动画表情，点击下面链接查看: 未知,GROUP,2017-07-26 16:56:04,未知
js,等我涨工资的时候[奸笑],GROUP,2017-07-26 16:56:16,
副将桃儿,三爷，把中宣部装修工程包给我，我带你住三里屯半个月,GROUP,2017-07-26 16:56:17,
骑车总被神套路,没有装修项目,GROUP,2017-07-26 16:56:46,
꧁路渣꧂,一句话不就有了,GROUP,2017-07-26 16:56:56,
套路群中最真诚的鱼,什么时候,js,2017-07-26 16:57:03,
骑车总被神套路,你得去商务部,GROUP,2017-07-26 16:57:21,
